,ID,CO,RTE,REGION ZONE,Prefix,BPM,Prefix.1,EPM,Zone,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass.1","NB/EB
Need 1.1","NB/EB
Need 2.1","NB/EB
Construction.1","NB/EB
Encampments.1","SB/WB 
Pass.1","SB/WB
Need 1.1","SB/WB
Need 2.1","SB/WB
Construction.1","SB/WB
Encampments.1",RA LOS Score,Average LOS score
0,1.0,LA,10.0,InVal-5,,30.0,,31.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
1,2.0,LA,10.0,InVal-5,,31.0,,32.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
2,3.0,LA,10.0,InVal-5,,32.0,,33.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,,X,,,,75.0,88.0
3,4.0,LA,10.0,InVal-5,,33.0,,34.0,,FY23/Q3,1,,,,,,1,,,,75.0,X,,,,,X,,,,,100.0,88.0
4,5.0,LA,10.0,InVal-5,,34.0,,35.0,,FY23/Q3,1,,,,,,1,,,,75.0,X,,,,,X,,,,,100.0,88.0
5,6.0,LA,10.0,InVal-5,,35.0,,36.0,,FY23/Q3,1,,,,,,1,,,,75.0,X,,,,,,X,,,,75.0,75.0
6,7.0,LA,10.0,InVal-5,,36.0,,37.0,,FY23/Q3,,1,,,,,1,,,,50.0,X,,,,,,X,,,,75.0,63.0
7,8.0,LA,10.0,InVal-5,,37.0,,38.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
8,9.0,LA,10.0,InVal-5,,38.0,,39.0,,FY23/Q3,1,,,,,,,1.0,,,50.0,X,,,,,,X,,,,75.0,63.0
9,10.0,LA,10.0,InVal-5,,39.0,,40.0,,FY23/Q3,,,1.0,,,,,1.0,,,0.0,X,,,,,,X,,,,75.0,38.0
10,11.0,LA,10.0,InVal-5,,40.0,,41.0,,FY23/Q3,,1,,,,,1,,,,50.0,X,,,,,,X,,,,75.0,63.0
11,12.0,LA,10.0,InVal-5,,41.0,,42.0,,FY23/Q3,,,1.0,,,,1,,,,25.0,,X,,,,,X,,,,50.0,38.0
12,13.0,LA,10.0,InVal-5,,42.0,,43.0,,FY23/Q3,,1,,,,,,1.0,,,25.0,,X,,,,,X,,,,50.0,38.0
13,14.0,LA,10.0,InVal-5,,43.0,,44.0,,FY23/Q3,,1,,,,,1,,,,50.0,,X,,,,,X,,,,50.0,50.0
15,15.0,LA,14.0,Des-5,R,58.0,,59.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,,X,,,,,X,,,,50.0,75.0
16,16.0,LA,14.0,Des-5,,59.0,,60.0,,FY23/Q3,,1,,,,1.0,,,,,75.0,,X,,,,X,,,,,75.0,75.0
17,17.0,LA,14.0,Des-5,,60.0,,61.0,,FY23/Q3,,1,,,,1.0,,,,,75.0,X,,,,,X,,,,,100.0,88.0
18,18.0,LA,14.0,Des-5,,61.0,,62.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
19,19.0,LA,14.0,Des-5,,64.0,,65.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,,X,,,,,X,,,,50.0,75.0
20,20.0,LA,14.0,Des-5,,65.0,,66.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,,X,,,,,X,,,,50.0,75.0
22,21.0,LA,60.0,SoCst-5,R,22.0,,23.0,,FY23/Q3,,1,,,,,1,,,,50.0,X,,,,,X,,,,,100.0,75.0
23,22.0,LA,60.0,SoCst-5,,23.0,,24.0,,FY23/Q3,,1,,,,,1,,,,50.0,X,,,,,X,,,,,100.0,75.0
24,23.0,LA,60.0,SoCst-5,,24.0,,25.0,,FY23/Q3,,1,,,,,1,,,,50.0,X,,,,,X,,,,,100.0,75.0
25,24.0,LA,60.0,SoCst-5,,25.0,,26.0,,FY23/Q3,,1,,,,1.0,,,,,75.0,X,,,,,X,,,,,100.0,88.0
26,25.0,LA,60.0,SoCst-5,,27.0,,28.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
