,ID,DIST,CO,RTE,PFX,BEGPM,PFX.1,ENDPM,Length,HG,MAINT_DIST,MAINT_RGN,DIST_RGN,BUDGET ZONE,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass.1","NB/EB
Need 1.1","NB/EB
Need 2.1","NB/EB
Construction.1","NB/EB
Encampments.1","SB/WB
Pass.1","SB/WB
Need 1.1","SB/WB
Need 2.1","SB/WB
Construction.1","SB/WB
Encampments.1",RA LOS Score,Average LOS score
0,1.0,2.0,SHA,5.0,R,4.0,R,5.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
1,2.0,2.0,SHA,5.0,R,5.0,R,6.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
2,3.0,2.0,SHA,5.0,R,6.0,R,7.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
3,4.0,2.0,SHA,5.0,R,7.0,R,8.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
4,5.0,2.0,SHA,5.0,R,8.0,R,9.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
5,6.0,2.0,SHA,5.0,R,9.0,R,10.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
6,7.0,2.0,SHA,5.0,R,10.0,R,11.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
7,8.0,2.0,SHA,5.0,R,11.0,R,12.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
8,9.0,2.0,SHA,5.0,R,12.0,R,13.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
9,10.0,2.0,SHA,5.0,R,13.0,R,14.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
10,11.0,2.0,SHA,5.0,R,14.0,R,15.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
11,12.0,2.0,SHA,5.0,R,15.0,R,16.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
12,13.0,2.0,SHA,5.0,R,16.0,R,17.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
13,14.0,2.0,SHA,5.0,R,17.0,R,18.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,InVal-3,FY23/Q3,X,,,,,,X,,,,75.0,X,,,,,X,,,,,100.0,88.0
14,15.0,2.0,SHA,5.0,R,18.0,R,19.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,InVal-3,FY23/Q3,X,,,,,,X,,,,75.0,X,,,,,X,,,,,100.0,88.0
15,16.0,2.0,SHA,5.0,R,19.0,R,20.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
16,17.0,2.0,SHA,5.0,R,20.0,R,21.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
17,18.0,2.0,SHA,5.0,R,21.0,R,22.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
18,19.0,2.0,SHA,5.0,R,22.0,R,23.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
19,20.0,2.0,SHA,5.0,R,23.0,R,24.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
20,21.0,2.0,SHA,5.0,R,24.0,R,25.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
21,22.0,2.0,SHA,5.0,R,25.0,R,26.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
22,23.0,2.0,SHA,5.0,R,26.0,R,27.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
23,24.0,2.0,SHA,5.0,R,27.0,R,28.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
